,Feature,Importance
78,estimated_delivery_days,0.17201572092997539
79,sel2cust_dist,0.167622335896078
74,avg_review_score,0.059713605349493486
73,payment_value,0.041784210543808126
77,std_review_score,0.03436387704241234
40,freight_value_min,0.033994152787764326
72,payment_installments,0.02765206985552146
41,freight_value_max,0.019239024307254517
42,freight_value_mean,0.017964946143069052
43,freight_value_median,0.017721366347286046
6,product_description_lenght_max,0.0174134612867085
35,price_min,0.016327845278457348
5,product_description_lenght_min,0.015935373610276037
36,price_max,0.0158984201638763
7,product_description_lenght_mean,0.015629954161267435
38,price_median,0.01517214059055142
8,product_description_lenght_median,0.014381827034837149
37,price_mean,0.014248728687064512
15,product_weight_g_min,0.013633088158572719
16,product_weight_g_max,0.013282069644885531
17,product_weight_g_mean,0.01255373435014415
18,product_weight_g_median,0.012508925047223562
1,product_name_lenght_max,0.011757693418793952
0,product_name_lenght_min,0.011720760769902406
26,product_height_cm_max,0.011571783861497143
27,product_height_cm_mean,0.011499974920952534
25,product_height_cm_min,0.011496920124417179
2,product_name_lenght_mean,0.01115766903181592
3,product_name_lenght_median,0.010877943934688052
28,product_height_cm_median,0.010293982097983061
20,product_length_cm_min,0.009781877617542772
30,product_width_cm_min,0.009267614915209962
31,product_width_cm_max,0.008890276771002101
32,product_width_cm_mean,0.00883553637052806
33,product_width_cm_median,0.008537736888022
21,product_length_cm_max,0.008365760884136928
23,product_length_cm_median,0.00834376400832859
22,product_length_cm_mean,0.008157615992707576
12,product_photos_qty_mean,0.005195757797014953
11,product_photos_qty_max,0.005006813965377179
10,product_photos_qty_min,0.004872987041264978
13,product_photos_qty_median,0.004633053300178764
56,category_count_other_category_sum,0.003306876716767261
50,category_count_beleza_saude_sum,0.0027751492927232126
55,category_count_moveis_decoracao_sum,0.002602404098353802
19,product_weight_g_std,0.0025076437397685432
59,category_count_utilidades_domesticas_sum,0.002369082049075299
67,category_share_other_category_sum,0.0023332530341889125
52,category_count_esporte_lazer_sum,0.00229299760959118
54,category_count_informatica_acessorios_sum,0.0021904449325472293
51,category_count_cama_mesa_banho_sum,0.002106342984947264
66,category_share_moveis_decoracao_sum,0.0019535779092734015
61,category_share_beleza_saude_sum,0.0018284287865698223
63,category_share_esporte_lazer_sum,0.0018184090992629438
49,category_count_automotivo_sum,0.0017682024081422097
62,category_share_cama_mesa_banho_sum,0.001751604861458245
60,category_share_automotivo_sum,0.001489480300046121
53,category_count_ferramentas_jardim_sum,0.0014872627792873686
70,category_share_utilidades_domesticas_sum,0.0014818813654464901
57,category_count_relogios_presentes_sum,0.0014017809977324713
58,category_count_telefonia_sum,0.0013739797983749
65,category_share_informatica_acessorios_sum,0.0013340681793678666
68,category_share_relogios_presentes_sum,0.001321709239877173
4,product_name_lenght_std,0.0012919165993635986
76,max_review_score,0.0012580543072088165
69,category_share_telefonia_sum,0.0011746427120272777
64,category_share_ferramentas_jardim_sum,0.000979350709800011
75,min_review_score,0.0008431217454487835
34,product_width_cm_std,0.0008079120407997178
9,product_description_lenght_std,0.000736019058716307
39,price_std,0.0005271998064970293
44,freight_value_std,0.0005022991686664631
24,product_length_cm_std,0.0004989777842638825
29,product_height_cm_std,0.00039287298642589014
14,product_photos_qty_std,0.0001706519700890098
71,payment_sequential,0.0
48,shipping_limit_days_median,0.0
47,shipping_limit_days_mean,0.0
46,shipping_limit_days_max,0.0
45,shipping_limit_days_min,0.0
