,best_NN_score_alpha1
0,6.357121
1,13.8715315
2,9.984439
3,6.405249
4,16.070763
5,6.4505076
6,10.622861
7,9.269862
8,3.831154
9,5.634293
10,5.0301037
11,5.1608725
12,14.05681
13,9.544888
14,7.457532
15,5.0505486
16,3.5991983
17,7.3293447
18,10.295293
19,4.109793
20,8.269374
21,20.068966
22,10.930251
23,6.9433594
24,11.453826
25,9.052653
26,12.806418
27,3.8245757
28,7.844268
29,9.917509
30,13.143951
31,10.124876
32,10.028927
33,12.684928
34,11.632604
35,13.827247
36,19.756416
37,8.476951
38,12.966844
39,15.610747
40,3.6283696
41,11.079244
42,9.151291
43,3.874477
44,15.64725
45,14.492492
46,9.686791
47,7.503002
48,8.717954
49,9.3351755
50,8.248901
51,9.17293
52,9.040059
53,17.325813
54,8.511085
55,17.078949
56,10.105144
57,10.410909
58,10.805584
59,8.715183
60,15.549892
61,13.380489
62,11.886755
63,10.283034
64,3.8331053
65,11.230344
66,10.408957
67,9.408234
68,10.289208
69,3.1641555
70,7.0584626
71,8.528275
72,13.388617
73,9.369739
74,15.685378
75,9.340868
76,10.519814
77,8.880008
78,9.259049
79,5.6338215
80,4.5204806
81,11.000196
82,8.051622
83,9.224957
84,16.31143
85,8.036821
86,15.9166155
87,8.356787
88,8.871475
89,10.460843
90,15.534276
91,3.7149909
92,6.878402
93,3.1680503
94,6.1284456
95,16.516537
96,13.32854
97,16.527813
98,13.647078
99,5.11805
100,6.3324165
101,17.376438
102,18.730852
103,4.3554015
104,11.629334
105,11.251479
106,9.29756
107,8.239491
108,10.21159
109,5.2858768
110,15.605247
111,5.8495984
112,14.375185
113,4.0068293
114,10.390016
115,18.729464
116,9.542098
117,5.507406
118,14.508491
119,13.873523
120,8.784875
121,13.979257
122,4.043747
123,9.802354
124,16.886507
125,9.181071
126,9.212586
127,19.566032
128,5.4178915
129,10.932221
130,8.767857
131,9.283307
132,10.00052
133,9.929877
134,9.021066
135,18.069353
136,12.066211
137,7.7421875
138,8.325411
139,5.6816025
140,10.239659
141,16.138489
142,7.0005283
143,12.480951
144,15.24578
145,14.9922085
146,10.778691
147,12.77979
148,7.296545
149,11.557869
150,9.53611
151,5.239299
152,2.5610018
153,9.235747
154,10.936985
155,7.722669
156,6.4881344
157,7.35767
158,6.761671
159,5.2958183
160,4.6067142
161,12.160556
162,8.146203
163,9.227687
164,12.162378
165,4.995044
166,3.943453
167,11.558301
168,13.384695
169,10.87275
170,9.834432
171,10.238141
172,4.9631624
173,11.544076
174,13.42069
175,12.537991
176,14.322324
177,4.360558
178,3.5694594
179,2.7442272
180,11.029279
181,11.706032
182,9.357077
183,8.408989
184,4.077684
185,4.991022
186,6.716356
187,14.0566225
188,16.370901
189,4.351856
190,11.319147
191,9.206647
192,9.286506
193,3.2351546
194,4.208328
195,12.871905
196,8.478194
197,3.990921
198,3.631641
199,13.279456
200,10.679442
201,16.656404
202,3.3613625
203,4.7089815
204,5.524521
205,2.2425532
206,6.102828
207,12.701428
208,13.525463
209,12.913836
210,4.673398
211,15.397836
212,8.623945
213,11.757777
214,20.402267
215,9.691066
216,12.656276
217,2.824915
218,4.796262
219,9.686517
220,3.8165658
221,5.598832
222,3.05543
223,8.713832
224,8.443976
225,10.219524
226,11.334142
227,12.9220495
228,12.688767
229,12.81825
230,6.18361
231,9.053119
232,6.8954086
233,11.643327
234,5.0315857
235,2.4889035
236,13.905611
237,11.379907
238,17.170862
239,17.38538
240,16.526648
241,8.361502
242,8.613951
243,7.314577
244,9.193381
245,12.716963
246,9.238926
247,5.032722
248,10.426944
249,14.974659
250,9.845231
251,4.5591807
252,6.8133984
253,8.977024
254,5.0128365
255,9.914123
256,9.76785
257,8.5128765
258,8.726712
259,13.606986
260,12.139345
261,3.953011
262,9.614535
263,10.778052
264,9.642941
265,4.487968
266,7.783306
267,9.364493
268,8.050816
269,4.641991
270,9.567479
271,6.567151
272,10.819108
273,13.144576
274,9.632731
275,5.136911
276,26.202843
277,3.7239342
278,13.400199
279,11.354489
280,10.281615
281,8.992402
282,13.986212
283,12.263028
284,7.5453153
285,6.1148953
286,9.406203
287,11.155028
288,9.15475
289,11.365628
290,10.010223
291,16.408392
292,11.307903
293,10.831965
294,4.2952685
295,9.039363
296,9.227189
297,10.74249
298,16.403896
299,9.817963
300,10.353204
301,9.419259
302,8.868634
303,8.025866
304,10.152105
305,9.416337
306,11.614324
307,9.56872
308,4.1790757
309,9.862907
310,10.790553
311,11.390416
312,14.559775
313,16.301468
314,17.867657
315,7.917352
316,12.366363
317,8.486429
318,9.562438
