,best_NN_score_alpha1.5
0,7.563343
1,15.063684
2,11.520149
3,6.962753
4,17.196363
5,8.07109
6,12.835984
7,11.252198
8,4.568334
9,6.485867
10,5.541318
11,5.9110065
12,15.362507
13,10.752503
14,8.405693
15,7.169675
16,4.173431
17,8.043771
18,11.975095
19,4.87208
20,9.68862
21,21.198088
22,11.232452
23,7.4811454
24,13.1122
25,10.347718
26,14.38748
27,4.311341
28,9.033063
29,11.8143
30,14.794585
31,11.693992
32,12.009578
33,13.382228
34,14.244536
35,15.210044
36,20.714682
37,8.834992
38,14.157649
39,15.276372
40,4.1350503
41,11.54906
42,10.373256
43,4.7342095
44,17.188341
45,15.5376425
46,11.377028
47,8.312685
48,10.442829
49,11.241485
50,9.281917
51,9.991012
52,10.32385
53,19.225456
54,9.795118
55,19.347092
56,11.778419
57,11.210314
58,12.050848
59,10.356978
60,17.725943
61,15.528162
62,12.93656
63,11.714823
64,4.4742494
65,13.151961
66,12.382375
67,10.590648
68,12.165431
69,4.3415723
70,7.89506
71,9.105264
72,14.015143
73,11.138914
74,19.58757
75,10.9120035
76,12.611103
77,9.687077
78,11.855184
79,5.754233
80,4.827904
81,12.650352
82,9.32566
83,10.320351
84,16.406233
85,9.440423
86,20.047834
87,9.558528
88,9.990966
89,11.834996
90,17.266731
91,5.0956326
92,7.4207654
93,3.962691
94,8.2275505
95,20.143454
96,17.414202
97,19.289478
98,16.454187
99,6.0335345
100,9.561299
101,20.840548
102,19.971167
103,4.507046
104,14.32988
105,12.8266
106,12.124686
107,8.745861
108,11.457609
109,5.52708
110,20.981264
111,7.0257387
112,17.007399
113,4.7994466
114,11.754925
115,20.132727
116,11.58091
117,6.085013
118,16.726332
119,14.175555
120,9.33157
121,15.480784
122,4.485053
123,11.192296
124,19.876638
125,10.623406
126,10.809315
127,21.544521
128,5.6723447
129,11.347501
130,10.830489
131,11.901806
132,10.499639
133,11.612725
134,11.141881
135,19.961027
136,13.361953
137,9.0678
138,9.089978
139,5.883966
140,10.785434
141,16.77356
142,7.9952526
143,13.555096
144,16.636345
145,15.825089
146,11.093183
147,15.140216
148,7.950538
149,12.84473
150,10.685516
151,5.2524257
152,2.7982764
153,10.047123
154,12.092461
155,7.902514
156,7.9328966
157,8.098605
158,10.533553
159,6.329452
160,4.9494824
161,12.909133
162,9.087702
163,10.746672
164,15.29232
165,5.465671
166,4.3592257
167,13.263878
168,14.113782
169,11.97416
170,10.915473
171,11.197091
172,6.5063024
173,13.614773
174,15.0879755
175,14.875692
176,16.042961
177,4.916697
178,4.124987
179,2.9094627
180,12.192239
181,14.34225
182,11.210143
183,9.127868
184,4.530955
185,5.485397
186,6.603596
187,13.556344
188,19.63967
189,5.199906
190,13.589679
191,11.146345
192,10.552819
193,3.446997
194,5.300726
195,14.271125
196,8.85861
197,4.538997
198,4.1332345
199,15.628076
200,12.047029
201,19.055597
202,3.8982816
203,5.157826
204,7.1907096
205,2.7388487
206,6.8871226
207,11.106992
208,16.395657
209,14.268917
210,5.301827
211,17.17278
212,10.12407
213,14.492459
214,22.400934
215,12.316291
216,13.98951
217,3.6324167
218,4.9663806
219,12.367554
220,4.3502464
221,5.687635
222,3.464599
223,10.757575
224,9.620938
225,11.44752
226,14.12847
227,15.629941
228,14.22244
229,13.86288
230,8.142084
231,10.046723
232,7.5053735
233,12.023105
234,5.1675897
235,3.1552103
236,14.226692
237,12.2918005
238,19.73308
239,18.305925
240,18.087854
241,9.898485
242,9.86556
243,9.324858
244,10.164481
245,16.415375
246,11.450988
247,5.2571225
248,12.498595
249,17.214815
250,10.570806
251,5.186185
252,8.134065
253,10.848389
254,5.374841
255,10.387879
256,11.694901
257,10.949687
258,10.203466
259,17.018261
260,14.188842
261,4.3399715
262,11.390944
263,10.692771
264,11.099183
265,4.8431573
266,9.371276
267,10.6254425
268,9.225052
269,5.1285043
270,11.356388
271,7.657315
272,11.6984005
273,15.545859
274,11.56487
275,5.8119984
276,27.590103
277,4.202634
278,14.3479395
279,11.769076
280,11.666511
281,9.864121
282,17.523056
283,13.422156
284,10.259997
285,6.403478
286,10.650865
287,12.952494
288,10.323829
289,12.65367
290,11.545218
291,19.132433
292,12.199284
293,13.873839
294,4.6850085
295,10.418445
296,10.288636
297,12.307691
298,17.409678
299,11.920201
300,13.037263
301,10.953336
302,9.9946165
303,8.893635
304,12.404424
305,11.455522
306,13.199357
307,11.060912
308,4.777352
309,11.063647
310,13.269147
311,13.126421
312,17.183722
313,19.087503
314,19.465666
315,9.035229
316,12.115111
317,9.733676
318,15.011699
319,18.20192
320,11.042991
321,11.896033
322,16.524738
323,11.348108
324,9.050826
325,11.414063
326,17.588858
327,10.389222
328,15.7551775
329,15.074781
330,12.283887
331,13.882936
332,11.677781
333,14.702384
334,11.910524
335,6.0354886
336,10.63309
337,21.891315
338,16.355434
339,5.9894786
340,13.930787
341,12.302871
342,5.393107
343,15.660415
344,6.418178
345,13.415013
346,12.530374
347,14.418877
348,14.4591
349,12.956656
350,13.116487
351,11.254344
352,11.903371
353,11.951848
354,16.777117
355,6.9564767
356,9.463517
357,4.8225236
358,9.738073
359,12.971498
360,10.748878
361,12.600734
362,9.731469
363,9.123513
364,8.803276
365,14.093754
366,14.945376
367,6.043353
368,11.435441
369,5.718181
370,16.908346
371,11.342023
372,8.854398
373,16.650015
374,9.071769
375,8.510781
376,14.522063
377,17.46982
378,6.3027506
379,17.64588
380,5.611137
381,11.345991
382,5.184218
383,19.985254
384,10.424318
385,13.58233
386,19.858038
387,7.053312
388,7.238672
389,13.938308
390,8.905218
391,15.192358
392,14.345307
393,12.495103
394,9.904212
395,14.730893
396,13.7506075
397,18.179066
398,13.47289
399,15.029184
400,14.766165
401,11.157789
402,15.126264
403,10.759853
404,4.9103246
405,10.633918
406,4.816234
407,12.573644
408,9.900342
409,8.326935
410,10.182684
411,11.498925
412,7.1970677
413,19.58247
414,6.3293505
415,11.7627325
416,13.053979
417,10.345436
418,15.163705
419,19.363924
420,11.741488
421,12.602487
422,3.752514
423,15.0114975
424,12.443773
425,13.601155
426,13.093078
427,12.36667
428,9.6402445
429,14.783677
430,10.288405
431,9.945554
432,5.374393
433,9.038848
434,7.671341
435,7.4307933
436,9.809543
437,12.441607
438,14.66262
439,5.7335443
440,18.525026
441,10.565093
442,13.336938
443,12.457988
444,15.737155
445,5.2117133
446,14.883705
447,4.2134666
448,14.198922
449,7.7291236
450,7.577763
451,10.0269985
452,9.903974
453,10.236716
454,11.614907
455,6.385631
456,12.775886
457,20.354448
458,4.699712
459,5.4735746
460,13.94651
461,13.281701
462,10.2795515
463,5.1712494
464,11.321124
465,8.898018
466,7.8586307
467,10.784839
468,14.387548
469,10.04066
470,6.252151
471,17.688395
472,12.844911
473,8.650054
474,10.221585
475,10.41472
476,17.753048
477,4.747376
478,6.5784574
479,14.45243
480,12.398545
481,13.599732
482,4.643599
483,11.15928
484,10.225242
485,8.700855
486,10.178359
487,14.615457
488,9.501641
489,13.505804
490,5.7021513
491,14.847171
492,12.187802
493,7.511452
494,7.0464015
495,5.4751844
496,8.258544
497,20.5
498,4.826412
499,12.166885
500,13.1575365
501,4.9103894
502,9.10472
503,4.211384
504,5.6263614
505,19.370943
506,4.635619
507,13.143216
508,20.84916
509,16.549112
510,14.49503
511,4.0943055
512,15.315558
513,6.601502
514,5.614494
515,4.622769
516,7.9680324
517,14.762351
518,4.387835
519,11.690597
520,8.152615
521,11.037964
522,11.4156065
523,8.454094
524,7.565996
525,13.986445
526,18.359331
527,12.38756
528,5.504445
529,5.0669627
530,15.255885
531,17.1304
532,10.043099
533,5.129686
534,11.483188
535,11.250277
536,14.281361
537,15.803317
538,9.972616
539,9.553827
540,13.735444
541,10.19059
542,6.3159366
543,10.166753
544,16.696484
545,6.4496217
546,4.0328126
547,4.100508
548,16.224237
549,11.244615
550,9.20547
551,20.155
552,17.90792
553,17.370583
554,5.272898
555,5.455645
556,7.9698005
557,21.200596
558,13.369791
559,12.228053
560,4.4117312
561,4.265384
562,8.699718
563,12.083098
564,5.252888
565,8.77555
566,9.373269
567,10.889512
568,17.435364
569,17.444386
570,14.054435
571,8.321512
572,15.875908
573,14.416934
574,18.161146
575,6.304857
576,11.696725
577,6.5154257
578,14.3041315
579,20.864607
580,8.0270405
581,10.254241
582,13.515647
583,14.420882
584,12.843585
585,19.157444
586,9.476811
587,5.1707716
588,4.349401
589,7.78064
590,13.939961
591,4.5800614
592,10.803965
593,11.390079
594,12.250213
595,10.903018
596,12.322754
597,20.317194
598,20.52256
599,16.678787
600,19.077393
601,4.0385785
602,20.76988
603,18.60183
604,11.723555
605,27.799088
606,9.836526
607,4.956948
608,5.143781
609,7.7918425
610,17.498068
611,12.481793
612,6.152823
613,7.9947705
614,6.956801
615,5.427191
616,16.745707
617,8.833021
618,15.660771
619,11.474254
620,5.6930346
621,8.35972
622,14.744498
623,13.993923
624,8.243011
625,17.42629
626,17.626635
627,6.0429683
