,best_NN_score_alpha1_5_tr
0,7.1349115
1,13.045151
2,11.847788
3,6.7195606
4,16.911118
5,8.198091
6,12.802313
7,11.336231
8,4.461811
9,6.744168
10,5.3532085
11,5.8216076
12,15.760538
13,10.753252
14,8.348497
15,7.1071587
16,3.9470434
17,8.591818
18,11.879168
19,4.8047085
20,9.398067
21,20.651514
22,11.390525
23,7.4022856
24,13.39081
25,10.314231
26,14.4033375
27,4.1400003
28,9.022875
29,11.520408
30,14.108453
31,11.949624
32,12.398457
33,13.724087
34,14.403894
35,14.416672
36,20.369122
37,8.954587
38,13.646009
39,15.418927
40,3.9286592
41,11.55373
42,10.464479
43,4.8606906
44,17.938646
45,15.91024
46,11.206501
47,8.191527
48,10.600725
49,11.757164
50,8.945768
51,10.091595
52,10.620806
53,20.065535
54,10.175617
55,20.023775
56,12.116232
57,11.216682
58,12.134182
59,10.569241
60,17.737726
61,16.703362
62,13.447334
63,11.540781
64,4.5038533
65,13.010088
66,12.250874
67,10.180558
68,12.41655
69,3.960729
70,7.7964754
71,9.361616
72,14.02141
73,10.964348
74,19.556187
75,11.861625
76,12.957969
77,9.701536
78,11.934831
79,5.722388
80,4.754161
81,12.725008
82,9.638273
83,10.464027
84,16.131428
85,9.260975
86,19.752844
87,9.824451
88,9.968677
89,11.669654
90,17.182915
91,4.928377
92,7.1315055
93,3.827461
94,7.8891363
95,20.444729
96,17.85093
97,20.736677
98,16.014534
99,5.926737
100,9.075403
101,21.052198
102,20.695745
103,4.340743
104,14.237368
105,12.525335
106,12.082145
107,8.648884
108,11.272796
109,5.408103
110,20.803701
111,6.8210106
112,16.441381
113,4.710374
114,11.974087
115,19.732378
116,11.234412
117,5.914682
118,16.431011
119,14.237063
120,9.221197
121,16.208735
122,4.7788115
123,11.009301
124,19.720488
125,10.609735
126,10.927158
127,21.29976
128,5.6057386
129,12.046293
130,10.965309
131,12.38513
132,10.805626
133,12.051715
134,11.21944
135,21.022253
136,13.342835
137,9.2370205
138,8.657643
139,5.795993
140,10.544908
141,16.425571
142,8.089507
143,13.802241
144,16.76585
145,16.288557
146,11.190259
147,14.189287
148,7.800174
149,12.908987
150,10.79087
151,5.3071737
152,2.5584884
153,10.073763
154,11.786125
155,8.167338
156,8.262512
157,7.797206
158,11.47311
159,6.3978863
160,4.809267
161,13.2083845
162,9.150785
163,10.857462
164,15.133086
165,5.6895328
