,best_NN_score_alpha1_tr
0,6.6834106
1,11.337145
2,10.551388
3,6.216235
4,15.058294
5,7.263038
6,11.39995
7,9.408491
8,4.2383475
9,5.678269
10,5.112933
11,5.4482455
12,13.574675
13,9.75202
14,7.5559306
15,6.1077824
16,3.691984
17,7.6862288
18,10.597807
19,4.557239
20,8.554602
21,19.31106
22,10.2061405
23,6.9182367
24,12.011182
25,9.244956
26,12.6071205
27,3.79653
28,8.450028
29,10.144759
30,12.631818
31,10.235418
32,10.7889385
33,12.570634
34,12.955462
35,13.385099
36,16.89316
37,8.311007
38,12.249817
39,13.492507
40,3.6785245
41,10.567379
42,9.5584
43,4.4101834
44,15.256287
45,13.834534
46,9.837873
47,7.701723
48,9.124127
49,10.299099
50,7.8503594
51,9.188019
52,9.048983
53,17.348455
54,9.068422
55,16.60069
56,10.754711
57,9.924267
58,10.973804
59,9.253843
60,15.486036
61,14.535488
62,11.888499
63,10.36987
64,4.064933
65,11.403466
66,10.650919
67,8.860609
68,10.74544
69,3.6084025
70,7.233902
71,8.586636
72,12.788956
73,9.695884
74,15.78751
75,8.80368
76,10.896228
77,8.464148
78,10.798398
79,5.4198875
80,4.8726645
81,11.564394
82,8.587708
83,9.505589
84,14.102693
85,8.541287
86,17.16054
87,8.441254
88,9.347159
89,10.363258
90,15.316246
91,4.3861012
92,6.694631
93,3.3886397
94,6.7555304
95,17.04362
96,14.274353
97,16.816196
98,13.701397
99,5.14376
100,8.101833
101,17.797132
102,17.435902
103,4.282612
104,11.325716
105,11.522342
106,11.1729965
107,8.021458
108,10.20542
109,4.889104
110,16.268328
111,5.719886
112,14.599675
113,4.4764876
114,10.825867
115,17.363462
116,9.388805
117,5.4378495
118,14.04143
119,13.000643
120,8.52055
121,13.564056
122,4.1933255
123,9.9124565
124,17.393126
125,9.550785
126,9.889221
127,18.413687
128,5.3345184
129,10.682016
130,9.785502
131,11.322761
132,9.828943
133,10.371976
134,9.9880495
135,17.67285
136,11.621265
137,8.145869
138,7.6282296
139,5.289712
140,10.020025
141,13.825541
142,7.3851347
143,12.319199
144,14.585489
145,14.248526
146,9.902465
147,12.573257
148,7.1969585
149,11.018856
150,9.544116
151,4.8817377
152,2.601743
153,9.379062
154,10.839224
155,7.0905666
156,7.434805
157,7.1268244
158,9.101238
159,5.7800546
160,4.5667934
161,11.843264
162,8.335021
163,10.123718
164,12.400865
165,4.98942
166,3.942003
167,12.635571
168,12.540865
169,11.20875
170,9.928175
171,10.058889
172,5.3612804
173,11.108739
